"url","type"
"mp3raid.com/music/krizz_kaliko.html","benign"
"bopsecrets.org/rexroth/cr/1.htm","benign"
"http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-ils-filmaient-2.html","benign"
"espn.go.com/nba/player/_/id/3457/brandon-rush","benign"
"yourbittorrent.com/?q=anthony-hamilton-soulife","benign"
"allmusic.com/album/crazy-from-the-heat-r16990","benign"
"corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx","benign"
"myspace.com/video/vid/30602581","benign"
"quickfacts.census.gov/qfd/maps/iowa_map.html","benign"
"nugget.ca/ArticleDisplay.aspx?archive=true&e=1160966","benign"
"uk.linkedin.com/pub/steve-rubenstein/8/718/755","benign"
"baseball-reference.com/players/h/harrige01.shtml","benign"
"192.com/atoz/people/oakley/patrick/","benign"
"nytimes.com/1998/03/29/style/cuttings-oh-that-brazen-raucous-glorious-hibiscus.html","benign"
"escholarship.org/uc/item/5xt4952c","benign"
"songfacts.com/detail.php?id=13410","benign"
"casamanana.org/education/blba/","benign"
"http://hollywoodlife.com/2014/05/01/rihanna-iheartradio-music-awards-dress-2014-pics/","benign"
"en.wikipedia.org/wiki/North_Dakota","benign"
"soaps.sheknows.com/daysofourlives/news/id/20259/Days_Of_Our_Lives_Casts_Ruta_Lee/","benign"
"perfectpeople.net/celebrity-star/6920/gidget-gein.htm","benign"
"media.caltech.edu/press_releases/13186","benign"
"wikiobits.com/Obits/TonyProudfoot","benign"
"vanderbilt.rivals.com/viewcoach.asp?coach=2079&sport=1&year=2011","benign"
"movies.yahoo.com/shop?d=hv&cf=info&id=1800340831","benign"
"cyndislist.com/us/pa/counties","benign"
"psychology.wikia.com/wiki/Phonemes","benign"
"info.centriq.com/content/fivereasons","benign"
"articles.baltimoresun.com/1991-06-11/sports/1991162162_1_james-koehler-texas-rangers-terrell-lowery","benign"
"infinitysw.com/","benign"
"strawberrycreekgardens.com/","benign"
"spoke.com/dir/p/desantis/nick","benign"
"wordsmith.org/words/pignus.html","benign"
"http://interpark.com/displaycorner/FreeMarket.do?_method=itemCateList&free1=pc&free2=007001008003&free3=item&disp_no=007001008003","benign"
"almanac.logos.com/Denominations","benign"
"gaming.wikia.com/wiki/Backbreaker_(video_game)","benign"
"ceu.hu/","benign"
"registry.weddingchannel.com/coupledir/20108/C/R314763282/JARED_CLOUGH_AND_TAJAI_RITCHIE.htm","benign"
"linkedin.com/pub/george-cleveland/7/80a/599","benign"
"sunshinemills.com/","benign"
"agoda.com/north_america/canada/montreal_qc/attractions/hotels_near_mcgill_university_centre_for_continuing_education.html","benign"
"ctv.ca/generic/WebSpecials/sponsorship_scandal/","benign"
"veoox.com/tags/game.html","benign"
"chuckwalkertrio.blogspot.com/","benign"
"aerosolesshoes.org/","benign"
"recipelink.com/msgbrd/board_14/2007/DEC/29094.html","benign"
"ideas.repec.org/f/pma235.html","benign"
"peopleaz.org/firstname/Fowlkes/6","benign"
"orensamtraktrip.wordpress.com/","benign"
"alexa.com/whatshot?q=james+arness","benign"
"jpopasia.com/group/arashi/discography/","benign"
"kitsapsun.com/photos/2011/feb/25/177999/","benign"
"local.yahoo.com/info-42862457-oakland-international-airport-oakland","benign"
"tripadvisor.com/Restaurant_Review-g680765-d1768647-Reviews-Yacha_Yacha-Miyakojima_Okinawa_Prefecture_Kyushu_Okinawa.html","benign"
"articles.elitefts.com/articles/training-articles/five-great-exercises-for-building-a-dominant-defensive-lineman/","benign"
"broadwaystars.com/classic/?source=www.playbill.com","benign"
"forums.networkinfrastructure.info/motorola-wireless-lan-switches/","benign"
"youtube.com/watch?v=mwpoPQ1SPJU","benign"
"mccall-idchamber.org/","benign"
"chacha.com/question/who-said-the-quote-%27say-what-you-mean%2C-mean-what-you-say-and-put-a-beat-to-it%27","benign"
"friars.com/sports/m-baskbl/archive/prov-m-baskbl-2003.html","benign"
"pipl.com/directory/name/Whissell/180","benign"
"spokeo.com/John+Collet","benign"
"http://fanpage.gr/family/gineka/%ce%b1%cf%85%cf%84%ce%bf%ce%af-%ce%b5%ce%af%ce%bd%ce%b1%ce%b9-%ce%bf%ce%b9-13-%cf%89%cf%81%ce%b1%ce%b9%cf%8c%cf%84%ce%b5%cf%81%ce%bf%ce%b9-%ce%ad%ce%bb%ce%bb%ce%b7%ce%bd%ce%b5%cf%82-%ce%b1%ce%bd-2/","benign"
"faqs.org/copyright/handbook-for-the-individual-or-group-culture-free/","benign"
"duckduckgo.com/1/c/Roman_Catholic_cathedrals_in_Canada","benign"
"http://worldoftanks.ru/ru/content/guide/payments_instruction/mobile-payments-rostelekom-ural-utel/","benign"
"en.wikipedia.org/wiki/Lloyd_Bacon","benign"
"http://serverfault.com/questions/682832/squid-transparent-https-certificate-error-ssl-error-bad-cert-domain","benign"
"ciajfk.com/harold.html","benign"
"indyweek.com/artery/archives/2011/10/07/come-back-to-the-1980s-at-the-escapism-film-festival-which-begins-friday","benign"
"linkedin.com/pub/charles-gariepy/2/642/28","benign"
"eyeappealoptometry.com/","benign"
"brophygen.com/","benign"
"icehockey.wikia.com/wiki/Dan_Blackburn","benign"
"gurufocus.com/news/116068/who-is-the-warren-buffett-of-canada-prem-watsa-of-fairfax-financial-ffh-or-paul-desmarais-of-power-corporation-of-canada-pow","benign"
"stewstew.com/","benign"
"livingharvest.com/products/ice-cream-bars","benign"
"http://icicibank.com/Personal-Banking/offers/offer-detail.page?id=offer-readers-digest-magazine-offer-20150202203953555","benign"
"bleacherreport.com/articles/300242-doug-harvey-one-of-the-best-ever-to-play-the-game","benign"
"artfacts.net/it/istituzion/ms--muzeum-sztuki-lodz-2724/visione-generale.html","benign"
"parsippanysoccerclub.org/","benign"
"international.uiowa.edu/services/language/allnet/resources/languages/turkish.asp","benign"
"btscene.eu/verified-search/torrent/franco+piersanti/","benign"
"signature-editions.com/","benign"
"en.wikipedia.org/wiki/Blessed_by_a_Broken_Heart","benign"
"national.ca/Bold-Thinking/NATIONAL-Publications.aspx","benign"
"http://motthegioi.vn/the-gioi-cuoi/clip-dai-gia-mac-ca-voi-co-ban-banh-my-185682.html","benign"
"metroactive.com/papers/metro/01.29.98/idiotflesh-9804.html","benign"
"https://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E3%82%A2%E3%83%8B%E3%83%A1%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FwjfL4fhPp1lPxTZb+%E3%82%A2%E3%83%AA%E3%82%B5%E5%86%8D%E3%81%B3%EF%BC%81%E3%82%A8%E3%83%AD%E3%82%A2%E3%83%8B%E3%83%A1+%23ero+%23douga+%23agesage","benign"
"http://correios.com.br/para-sua-empresa/comunicacao/certificados-digitais/ajuda-interativa/informacoes-sobre-a-baixa-dos-certificados-a1","benign"
"http://olx.ro/i2/electronice-si-electrocasnice/electrocasnice/masini-de-cusut/gtm.start","benign"
"msn.foxsports.com/nhl/player/yann-sauve/720461","benign"
"hallmark.businessgreetings.com/","benign"
"musicstack.com/records-cds/toni+tony+tone","benign"
"nudecelebsnow.com/tags/1/victoria+justus.htm","benign"
"worldwrestlinginsanity.com/am2/publish/ringofhonorlive/roh_sinclair_tv2.shtml","benign"
"http://slashdot.org/submission/2916707/facebook-to-include-profile-photos-in-its-facial-recognition-database","benign"
"facebook.com/people/Yui-Takeshita/100001611015714","benign"
"sportsposterwarehouse.com/items_388__grandprixclassicscoll.html","benign"
"padmapper.com/search/apartments/Quebec/Montreal-est/","benign"
"mrskin.com/christina-ricci-nude-c868.html","benign"
"lip-service.com/webzine/tag/post-apocalyptic-fashion/","benign"
"linkedin.com/pub/dir/elizabeth/scarborough","benign"
"cqgcr.ca/ang/producer01.php","benign"
"huffingtonpost.com/2011/10/24/south-carolina-primary-case_n_1029599.html","benign"
"http://qz.com/403774/quartz-daily-brief-japanese-military-verizon-aol-sporty-branson-saucy-swedes/","benign"
"select.nytimes.com/gst/abstract.html?res=F70814F93B581A7A93CBA9178BD95F4C8385F9","benign"
"startrekcostumes.net/","benign"
"en.wikipedia.org/wiki/Neil_Curtis","benign"
"music.carowinds.com/","benign"
"newjersey.craigslist.org/","benign"
"familypedia.wikia.com/wiki/Joseph_Philippe_Roi_de_Villere_%281727-1769%29","benign"
"http://mylust.com/videos/232790/hentai-slut-with-big-juicy-tits-gets-fucked-doggy-style/","benign"
"acronymfinder.com/John-Burroughs-High-school-(Burbank%2c-CA)-(JBHS).html","benign"
"youtube.com/watch?v=K_-bsYE-y08","benign"
"myspace.com/jking909","benign"
"movies.msn.com/celebrities/celebrity/george-'gabby'-hayes/","benign"
"idlebrain.com/news/functions/engagement-brahmini.html","benign"
"vh1.com/video/that-metal-show/full-episodes/carmine-appice-dave-meniketti/1663564/playlist.jhtml","benign"
"archiver.rootsweb.ancestry.com/th/read/GEN-OBIT/2007-04/1176208149","benign"
"perezhilton.com/category/william-shatner/","benign"
"fsnaindia.com/","benign"
"actionjaxon666.wordpress.com/2011/02/24/new-macbook-pros-secretly-16gb-capable/","benign"
"en.wikipedia.org/wiki/Kenji_Nojima","benign"
"alaskajewelry.com/colored-stone-tanzanite-rings-c-21_72_91.html?=&infoBox=0","benign"
"greenparty.ca/campaign/24048","benign"
"http://mic.com/articles/117758/mtv-just-gave-these-artists-a-huge-platform-to-bring-attention-to-indigenous-rights","benign"
"randomhouse.com/book/84548/tapestry-of-spies-by-stephen-hunter","benign"
"argentinawarez.com/musica-mp3-gratis/65991-ost-boat-rocked-soundtrack-2cd-2009-a.html","benign"
"192.com/atoz/people/gerrard/steven/","benign"
"users6.nofeehost.com/aldenh/493.html","benign"
"facebook.com/opalhilldrive","benign"
"scottss.com/","benign"
"manta.com/ic/mt6fkz0/ca/residence-sault-au-recollet","benign"
"forum.exscn.net/archive/index.php/t-10778.html?pda=1","benign"
"superpages.com/bp/Kansas-City-KS/Kansas-City-Terminal-Railway-L2170949422.htm","benign"
"maxlapointe.com/?p=141","benign"
"ca.ratemyteachers.com/louise-trichet/106184-s","benign"
"cardomain.com/ride/2424103/2006-pontiac-gto","benign"
"apps.facebook.com/ilike/artist/Les+Respectables","benign"
"cbssports.com/nba/players/playerpage/20626/paul-pierce","benign"
"home.comcast.net/~jcage89/350z/navbox/index.htm","benign"
"margaritawill.com/hotdogs/","benign"
"pipl.com/directory/name/Pallas/Tony","benign"
"newyorker.com/archive/1982/04/12/1982_04_12_039_TNY_CARDS_000335949","benign"
"youtube.com/watch?v=eMY1FT3Pqh8","benign"
"law.cornell.edu/wex/Joint_venture","benign"
"pitchfork.com/reviews/albums/13979-broken-bells/","benign"
"http://skyrock.com/videos/eDJwODRhNzoxMw==-bug-1187-moi-ma-famille.html?top=3&period=recent","benign"
"hollywood.com/movie/Biutiful/6870447","benign"
"facebook.com/pages/The-Paul-Lynde-Halloween-Special-1976/280289980245","benign"
"hot-people.info/Crossett_AR_Dorothy-Moore_Eric--Newton_1051.html","benign"
"onlineradio7.com/listen/CFLO_1047","benign"
"artistswithaids.org/artforms/music/catalogue/rileyl.html","benign"
"mylife.com/dominicbouchard","benign"
"mmagearguide.com/ufc-117-t-shirts-silva-vs-sonnen/","benign"
"worldtraveltours.org/4-alternative-places-you-can-choose-at-montreal-travel/.html","benign"
"iptv.org/","benign"
"elliscountydivorcelawyer.com/ellis-county-post-divorce-modification.htm","benign"
"http://grantland.com/the-triangle/2015-mlb-over-under-bets-chicago-cubs-houston-astros-oakland-as-tampa-bay-rays/","benign"
"fanpix.net/gallery/doug-savant-pictures.htm","benign"
"chacha.com/question/what-time-does-metro-center-mall-close","benign"
"marcospecialties.com/storeitems.asp?game=Chicago%20Coin&Chicago%20Coin=RED%20BARON%20(Blue%20Max)","benign"
"hdlns.com/g508zf1457/Kansas+City+Star+Obituaries+Obituaries+from+Kansas+City+Star+Kansas+City%2C+MO","benign"
"familytreemaker.genealogy.com/users/v/e/r/James-R-Verrier/GENE7-0008.html","benign"
"therainmakersmessageboard.yuku.com/","benign"
"tumblr.com/tagged/sebastien+lefebvre","benign"
"ussoccer.com/News/Soccer-Wire/2002/10/U-S-Soccer-Wire-Galaxy-Claims-2002-MLS-Cup-With-1-0-Double-OT-Win-Over-Revs-Will-Go-For-Rare-Double.aspx","benign"
"filmannex.com/movie/1984-olympics-fencing-men-saber/21938","benign"
"allaboutjazz.com/php/musician.php?id=3751","benign"
"skiracing.com/?q=node/514","benign"
"ertx.com/movie/2008/mad-about-mambo","benign"
"classicbikepictures.co.uk/c319/p2499/for_sale/yamaha%C2%A0yfu1wyfu1-t_for_sale.html","benign"
"http://thenextweb.com/dd/2011/05/09/squarespace-to-begin-version-6-beta-testing/gtm.js/gtm.js","benign"
"mtlasm.blogspot.com/","benign"
"medicinenet.com/heel_spurs/city.htm","benign"
"music.yahoo.com/nothingface/","benign"
"espn.go.com/college-football/team/_/id/2306/kansas-state-wildcats","benign"
"bleacherreport.com/articles/811265-mlb-power-rankings-comparing-every-mlb-team-to-a-classic-80s-rock-band","benign"
"famoushookups.com/site/relationship_detail.php?name=Martin-Brodeur&celebid=12150&relid=11371","benign"
"genealogybuff.com/ar/clark/webbbs_config.pl/noframes/read/10","benign"
"microlabsltd.com/","benign"
"tripadvisor.com/ShowUserReviews-g57417-d1013388-r21219909-Mulligan_s-Stratton_Mountain_Vermont.html","benign"
"flickr.com/people/sleepingelf/","benign"
"subscene.com/Taking-Woodstock/subtitles-80048.aspx","benign"
"http://thenextweb.com/insider/2014/10/29/unbabel-integrates-mailchimp-offer-translation-service-promotional-emails/gtm.js/gtm.start","benign"
"tabs.ultimate-guitar.com/a/audioslave/audioslave_album_btab.htm","benign"
"sunjournal.com/section/news/5974","benign"
