url,MU_dots,MU_hypens,MU_at,MU_and,MU_percentage,MU_slash,MU_star,MU_comma,MU_semicolon,MU_dollar,MU_colon,MU_question,MU_space,MU_underscore,MU_equal,MU_hash,length,having_ip,redirection,https_domain,pish_word,has_tinyURL,length_longest_word,type
mp3raid.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0
bopsecrets.org,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0
buzzfil.net,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,90,0
espn.go.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0
yourbittorrent.com,3,0,0,1,0,5,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,1,37,0
allmusic.com,3,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,1
corporationwiki.com,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,30,1
myspace.com,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,13,1
quickfacts.census.gov,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,1
nugget.ca,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60,0
uk.linkedin.com,3,0,0,1,1,3,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,17,1
baseball-reference.com,1,0,0,0,18,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,24,0
192.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0
nytimes.com,2,1,0,7,0,2,0,0,0,0,0,1,0,0,7,0,1,0,0,1,0,0,56,1
escholarship.org,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,18,1
songfacts.com,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29,1
casamanana.org,2,1,0,0,3,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,16,0
hollywoodlife.com,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,48,0
en.wikipedia.org,2,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,18,1
soaps.sheknows.com,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,32,0
perfectpeople.net,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,1
media.caltech.edu,2,0,0,2,0,4,0,0,0,0,1,1,0,0,3,0,0,0,0,1,0,0,19,0
wikiobits.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0
vanderbilt.rivals.com,2,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,68,0
movies.yahoo.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,57,0
cyndislist.com,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,16,1
psychology.wikia.com,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,22,0
info.centriq.com,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,18,1
articles.baltimoresun.com,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,57,0
infinitysw.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0
strawberrycreekgardens.com,1,0,0,0,21,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,28,0
spoke.com,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,1
wordsmith.org,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0
interpark.com,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,136,1
almanac.logos.com,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,19,1
gaming.wikia.com,1,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,1
ceu.hu,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8,1
